State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude
"AL","Barry","3","6A",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","6893.25","12","1769464.0",,"3.681","0.0088","50.463","729231.925","1.22706404E7","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"31.0069","-88.0103",
"AL","Barry","3","6B",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","7208.25","12","1837207.25",,"3.85","0.0091","50.234","762681.55","1.283360665E7","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"31.0069","-88.0103",
"AL","Barry","3","7A",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","6648.75","12","1701165.75",,"3.58","0.0096","50.808","709209.875","1.193388905E7","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"31.0069","-88.0103",
"AL","Barry","3","7B",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","6940.75","12","1687095.75",,"3.652","0.0083","46.296","723389.25","1.21724407E7","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"31.0069","-88.0103",
"AL","Calhoun Energy Center","55409","CT1",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","110.62","12","14003.51",,"0.168","0.0806","4.896","10293.986","156817.513","4",,"Calhoun","Electric Utility","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"33.5883","-85.9731",
"AL","Calhoun Energy Center","55409","CT2",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","52.68","12","5585.04",,"0.123","0.1078","3.106","4841.783","66943.209","4",,"Calhoun","Electric Utility","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"33.5883","-85.9731",
"AL","Calhoun Energy Center","55409","CT3",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","64.63","12","7805.09",,"0.133","0.0855","2.907","5900.89","88616.917","4",,"Calhoun","Electric Utility","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"33.5883","-85.9731",
"AL","Calhoun Energy Center","55409","CT4",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","141.04","12","17967.24",,"0.2","0.0724","6.007","13392.527","207512.472","4",,"Calhoun","Electric Utility","Calhoun Power Company I, LLC","Calhoun Power Company I, LLC","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"33.5883","-85.9731",
"AL","Charles R Lowman","56","1"," CS004, MS001","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","146.47","12","6049.04",,"33.927","0.4122","14.356","7037.786","68596.218","4","SERC","Washington","Electric Utility","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.","Phase 2","Phase II Group 1","Operating","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"31.4858","-87.9106",
"AL","Charles R Lowman","56","2"," CS004","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","6523.72","12","1161613.32",,"1372.21","0.2813","1740.928","1271150.015","1.2389400373E7","4","SERC","Washington","Electric Utility","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.","Phase 2","Early Election","Operating","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Selective Catalytic Reduction<br>Overfire Air","Electrostatic Precipitator",,"31.4858","-87.9106",
"AL","Charles R Lowman","56","3"," MS03C, MS03D","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","3980.09","12","709911.34",,"1100.217","0.274","995.375","757548.796","7383542.69","4","SERC","Washington","Electric Utility","PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.","Phase 2","Early Election","Operating","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Selective Catalytic Reduction<br>Overfire Air","Electrostatic Precipitator",,"31.4858","-87.9106",
"AL","Colbert","47","1"," CSCO14","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","6203.11","12","710085.41",,"6256.138","0.441","1746.27","819007.422","7894824.35","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"34.7439","-87.8486",
"AL","Colbert","47","2"," CSCO14","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","6152.63","12","669940.6",,"6014.708","0.4442","1726.539","803501.994","7745351.047","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"34.7439","-87.8486",
"AL","Colbert","47","3"," CSCO14","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","7020.67","12","807501.52",,"7221.108","0.439","2010.947","947314.279","9131648.473","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"34.7439","-87.8486",
"AL","Colbert","47","4"," CSCO14","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","6709.15","12","777126.68",,"6844.508","0.448","1978.5","911440.77","8785835.505","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"34.7439","-87.8486",
"AL","Colbert","47","5",,"2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","0.0","12",,,,,,,,"4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal",,,"Selective Catalytic Reduction<br>Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"34.7439","-87.8486",
"AL","Colbert","47","CCT1",,"2015","CSNOX, CSNOXOS, CSSO2G2","15.0","12","472.0",,"0.285","0.4366","1.388","406.8","6469.8","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT2",,"2015","CSNOX, CSNOXOS, CSSO2G2","26.0","12","841.0",,"0.529","0.4575","2.434","710.2","11255.1","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT3",,"2015","CSNOX, CSNOXOS, CSSO2G2","42.0","12","1490.0",,"1.052","0.463","4.335","1253.5","19678.0","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT4",,"2015","CSNOX, CSNOXOS, CSSO2G2","25.0","12","910.0",,"0.524","0.4612","2.618","768.5","12248.9","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT5",,"2015","CSNOX, CSNOXOS, CSSO2G2","33.0","12","931.0",,"0.656","0.4686","2.751","796.4","12526.3","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT6",,"2015","CSNOX, CSNOXOS, CSSO2G2","28.0","12","855.0",,"0.565","0.4739","2.364","684.5","10759.8","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT7",,"2015","CSNOX, CSNOXOS, CSSO2G2","33.0","12","1313.0",,"0.467","0.4217","3.453","1037.8","16895.8","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Colbert","47","CCT8",,"2015","CSNOX, CSNOXOS, CSSO2G2","26.0","12","586.0",,"0.72","0.5185","1.821","496.7","7350.2","4",,"Colbert","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority",,,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,,,,"34.7439","-87.8486",
"AL","Decatur Energy Center","55292","CTG-1",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","2717.75","12","492981.32",,"1.083","0.0135","19.538","214436.288","3608313.054","4",,"Morgan","Electric Utility","Decatur Energy Center, LLC","Decatur Energy Center, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.6292","-87.0214",
"AL","Decatur Energy Center","55292","CTG-2",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","2766.26","12","505396.35",,"1.119","0.0122","18.672","221717.127","3730813.556","4",,"Morgan","Electric Utility","Decatur Energy Center, LLC","Decatur Energy Center, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.6292","-87.0214",
"AL","Decatur Energy Center","55292","CTG-3",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","3007.58","12","542300.63",,"1.213","0.0125","21.099","240343.294","4044246.959","4",,"Morgan","Electric Utility","Decatur Energy Center, LLC","Decatur Energy Center, LLC","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.6292","-87.0214",
"AL","E B Harris Generating Plant","7897","1A",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","8111.5","12","2201942.5",,"4.455","0.0095","63.171","882512.35","1.48500717E7","4",,"Autauga","Electric Utility","Southern Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.3814","-86.5736",
"AL","E B Harris Generating Plant","7897","1B",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","8036.5","12","2198256.5",,"4.435","0.0093","62.273","878567.05","1.478348835E7","4",,"Autauga","Electric Utility","Southern Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.3814","-86.5736",
"AL","E B Harris Generating Plant","7897","2A",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","6525.0","12","1616176.5",,"3.314","0.015","58.164","656548.8","1.1047757125E7","4",,"Autauga","Electric Utility","Southern Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.3814","-86.5736",
"AL","E B Harris Generating Plant","7897","2B",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","6383.75","12","1606896.25",,"3.234","0.0145","55.21","640655.025","1.0780293975E7","4",,"Autauga","Electric Utility","Southern Company","Alabama Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.3814","-86.5736",
"AL","E C Gaston","26","1"," CS0CAN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","3979.5","12","359261.75",,"3923.889","0.329","643.293","372059.651","3916257.925","4","SERC","Shelby","Electric Utility","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"33.2442","-86.4567",
"AL","E C Gaston","26","2"," CS0CAN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","5842.25","12","516164.0",,"6965.129","0.3534","1093.986","614771.149","6146524.95","4","SERC","Shelby","Electric Utility","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse<br>Electrostatic Precipitator",,"33.2442","-86.4567",
"AL","E C Gaston","26","3"," CS0CBN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","3799.0","12","340655.0",,"4059.29","0.3313","654.152","382766.351","3845688.8","4","SERC","Shelby","Electric Utility","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse<br>Electrostatic Precipitator",,"33.2442","-86.4567",
"AL","E C Gaston","26","4"," CS0CBN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","2380.5","12","208929.0",,"2277.341","0.3434","372.558","220701.024","2152739.575","4","SERC","Shelby","Electric Utility","Alabama Power Company, Georgia Power Company, Southern Company","Alabama Power Company","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"33.2442","-86.4567",
"AL","E C Gaston","26","5"," MS5B, MS5A","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","7558.0","12","5709085.75",,"6645.582","0.169","4716.673","5988950.15","5.8371848075E7","4","SERC","Shelby","Electric Utility","Alabama Power Company","Alabama Power Company","Table 1","Phase 1 Group 1","Operating","Tangentially-fired","Coal","Diesel Oil","Wet Limestone","Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction","Electrostatic Precipitator",,"33.2442","-86.4567",
"AL","Gadsden","7","1"," CS0BAN","2015","ARP, CSNOX, CSNOXOS, CSSO2G2","6285.25","12",,"1635705.75","256.137","0.1389","232.914","195273.627","3079482.1","4","SERC","Etowah","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase 1 Group 1","Operating","Tangentially-fired","Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas",,,"Electrostatic Precipitator",,"34.0128","-85.9708",
"AL","Gadsden","7","2"," CS0BAN","2015","ARP, CSNOX, CSNOXOS, CSSO2G2","3217.25","12",,"847297.0","242.523","0.163","154.768","116531.648","1799065.05","4","SERC","Etowah","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase 1 Group 1","Operating","Tangentially-fired","Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas",,,"Electrostatic Precipitator",,"34.0128","-85.9708",
"AL","Gorgas","8","10"," CS0DCN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","6443.75","12","4177645.75",,"701.813","0.2004","4196.124","4567948.644","4.45219673E7","4","SERC","Walker","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal","Diesel Oil","Wet Limestone","Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction","Electrostatic Precipitator",,"33.6446","-87.2003",
"AL","Gorgas","8","6"," CS0DAN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","198.0","8","7838.25",,"88.651","0.3442","18.451","8946.946","87202.4","4","SERC","Walker","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only) (Retired Aug 24, 2015)","Electrostatic Precipitator (Retired Aug 24, 2015)",,"33.6446","-87.2003",
"AL","Gorgas","8","7"," CS0DAN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","261.75","8","17497.0",,"202.114","0.3784","43.492","20518.854","199995.675","4","SERC","Walker","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only) (Retired Aug 24, 2015)","Electrostatic Precipitator (Retired Aug 24, 2015)",,"33.6446","-87.2003",
"AL","Gorgas","8","8"," CS0DCN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","3900.25","12","417196.0",,"90.097","0.1986","451.983","454048.653","4425426.425","4","SERC","Walker","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal","Diesel Oil","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator",,"33.6446","-87.2003",
"AL","Gorgas","8","9"," CS0DCN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","3745.25","12","392914.0",,"105.701","0.2225","509.342","441251.463","4300706.85","4","SERC","Walker","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal","Diesel Oil","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator",,"33.6446","-87.2003",
"AL","Greene County","10","1"," CS0EBN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","7698.75","12","1223028.5",,"15677.222","0.4253","2441.78","1153891.783","1.124651505E7","4","SERC","Greene","Electric Utility","Alabama Power Company, Mississippi Power Company","Alabama Power Company","Phase 2","Group 2","Operating","Cell burner boiler","Coal","Diesel Oil, Pipeline Natural Gas",,"Low NOx Cell Burner","Electrostatic Precipitator",,"32.6017","-87.7811",
"AL","Greene County","10","2"," CS0EBN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","7406.5","12","1186024.25",,"15158.868","0.4188","2316.63","1119331.617","1.0909672675E7","4","SERC","Greene","Electric Utility","Alabama Power Company, Mississippi Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Dry bottom wall-fired boiler","Coal","Diesel Oil",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"32.6017","-87.7811",
"AL","Greene County","10","CT10",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","41.5","12","2283.75",,"1.433","0.098","1.621","2543.603","31890.725","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT2",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","87.0","12","5212.75",,"1.388","0.0878","3.104","5061.81","71375.475","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT3",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","190.75","12","10349.5",,"1.134","0.0744","5.111","9891.801","141820.95","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT4",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","139.0","12","7608.5",,"2.355","0.0858","4.556","7596.202","104497.1","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT5",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","75.5","12","4282.0",,"1.636","0.0698","2.112","4656.501","59567.175","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT6",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","158.25","12","8811.25",,"0.769","0.07","4.219","8578.399","121436.275","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT7",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","78.5","12","4197.0",,"0.519","0.086","2.534","4087.895","58044.325","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
"AL","Greene County","10","CT8",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","43.75","12","2363.25",,"1.388","0.0855","1.514","2705.9","33295.725","4","SERC","Greene","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"32.6017","-87.7811",
